CTS,,,,,,,,,,
Test Date,ABI,Module,Test,result,Detail,desc,F/W ver,TestTool ver,SecurityPatch,SDK ver
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFilterTest#testDownloadSettings,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDtmbFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testAnalogFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testIsdbtFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testIsdbs3FrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testAtsc3FrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDvbtFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDvbcFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testIsdbs3FrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDvbcFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testFrontendInfoWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testIsdbsFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testAtscFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testIptvFrontendSettings,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDvbsFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testIsdbsFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDvbtFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDvbsFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testAtscFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testAtsc3FrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testDtmbFrontendSettingsWithIntFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testAnalogFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFrontendTest#testIsdbtFrontendSettingsWithLongFrequency,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testFilterTimeDelay,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testSharedFilterOneProcess,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testReadFilter,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testResourceReclaimed,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testMultiTuning,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testTlvTlvFilterConfig,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testResourceLostListener,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testRemoveOutputPid,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testAlpSectionFilterConfig,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testTunerVersion,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerTest#testSharedFilterTwoProcessesReleaseInFilter,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
